"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8495",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,202.014
"8496",3699,"NAIROBI","SHOPS",20,2,101.007
"8497",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,1780.8
"8498",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,3747.3252
"8499",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,1022.4
"8500",4968,"MTITO ANDEI","MINI SUPERMAKETS",20,2,890.4
"8501",7142,"KASARANI","SHOPS",20,2,959
"8502",7142,"KASARANI","SHOPS",20,2,545
"8503",1192,"MTITO ANDEI","SUPERMAKETS",20,2,3911.276
"8504",2024,"VOI","SUPERMAKETS",20,2,148.08
"8505",2024,"VOI","SUPERMAKETS",20,2,618.3932
"8506",4957,"MAUA","SUPERMAKETS",20,2,1918
"8507",4957,"MAUA","SUPERMAKETS",20,2,1976.991
"8508",7335,"VOI","MINI SUPERMAKETS",20,2,927.5898
"8509",8779,"MANYANGA","WHOLE SALE",20,2,426
"8510",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,7030.9878
"8511",6040,"NAIROBI","MINI SUPERMAKETS",20,2,2343.6626
"8512",6041,"NAIROBI","SUPERMAKETS",20,2,370.2
"8513",9778,"NAIROBI","MINI SUPERMAKETS",20,2,370.2
"8514",9778,"NAIROBI","MINI SUPERMAKETS",20,2,1075.983
"8515",9778,"NAIROBI","MINI SUPERMAKETS",20,2,891.994
"8516",1192,"MTITO ANDEI","SUPERMAKETS",20,2,5150.9878
